journey_id,journey_name,sent_nb,opening_nb,click_nb,turnover
1661,210721_nlbe_fete_nat_sto_nl,8,,,
1722,210815_nlbe_binchotan_nosto_nl,10,,,
1707,210808_nlbe_summer_sto_nl,10,,,
1624,210707_nlbe_interieur_nosto_nl,6,,,
1691,210801_nlbe_finsoldes_nosto_nl,9,,,
1608,210630_nl_happy_hour_18h,30,,,"2,292.10"
1681,210728_nlbe_bento_nosto_nl,9,,,
1652,210718_nlbe_en_promos_nosto_nl,8,,,
1728,210818_nlbe_coton_sto_nl,11,1,,
1741,210822_nlbe_apero_sto_nl,10,1,,
1751,210825_nlbe_feculents_sto_nl,16,1,,
1638,210711_nlbe_suite_soldes_nosto_nl,6,1,,
968,nlbecrm_relance_back_in_stock_nl,1,1,,
1645,210714_nlbe_briller_nosto_nl,8,1,,
1616,210704_nlbe_soldes_sto_nl,7,1,,
1639,210711_nlbe_suite_soldes_sto_nl,7,1,,
1672,210725_nlbe_last_soldes_nosto_nl,7,2,,
1692,210801_nlbe_finsoldes_sto_nl,7,2,,
1714,210811_nlbe_fruitsec_nosto_nl,10,2,,
1699,210804_nlbe_drinks_nosto_nl,7,2,,
1623,210707_nlbe_interieur_sto_nl,7,2,,
1729,210818_nlbe_coton_nosto_nl,7,2,,
1742,210822_nlbe_apero_nosto_nl,7,2,,
1713,210811_nlbe_fruitsec_sto_nl,7,2,,
1653,210718_nlbe_en_promos_sto_nl,7,2,,
1680,210728_nlbe_bento_sto_nl,7,2,,
1662,210721_nlbe_fete_nat_nosto_nl,7,2,,
1644,210714_nlbe_briller_sto_nl,7,3,,
1706,210808_nlbe_summer_nosto_nl,7,3,,
1748,2108_nl_marketplace_1,12,7,,
1648,210719_nl_animaux,85992,17614,1024,"1,216.80"
1686,210801_nl_ete,95514,20544,1536,"5,663.47"
1673,210725_nlbe_last_soldes_sto_nl,9,1,1,
765,nlbecrm_relance_panier_abandonne_j1,5,1,1,
1698,210804_nlbe_drinks_sto_nl,9,1,1,
1599,210630_nlbe_fin_presoldes_sto,12,2,1,
1720,210815_nlbe_binchotan_sto_nl,7,3,1,
967,nlbecrm_relance_back_in_stock,7,5,1,
1615,210704_nlbe_soldes_nosto_nl,8,2,2,
1625,210706_nl_paniers,74,13,2,
1658,210721_nl_hh_midi,51,14,3,
1700,210805_nl_enfant_1,15307,2471,259,"1,694.05"
1627,210706_nl_paniersbis,26,10,4,
1610,210701_nl_paniers,104,22,5,
1637,210711_nl_championne2,52033,10668,1029,"4,289.70"
1711,210811_nlbe_fruitsec_nosto,1192,222,7,
1609,210701_nl_mif,107812,20869,2312,"6,987.62"
1726,210818_nlbe_coton_nosto,1327,229,9,
1665,210722_nl_cuisine,78826,11471,1289,"2,008.08"
1651,210718_nlbe_en_promos_sto,1317,230,12,
1622,210707_nlbe_interieur_sto,1200,235,14,
1678,210728_nlbe_bento_sto,1328,248,14,
1605,210701_nl_corse,242,51,15,38.79
1619,210705_nl_commandes_MKP_s1,421,108,15,
1650,210718_nlbe_en_promos_nosto,1215,217,15,
1621,210707_nlbe_interieur_nosto,1308,244,15,
1721,210815_nlbe_binchotan_nosto,1200,172,16,
1727,210818_nlbe_coton_sto,1203,223,16,
1643,210714_nlbe_briller_sto,1320,244,16,
1740,210822_nlbe_apero_nosto,1336,228,17,
1642,210714_nlbe_briller_nosto,1217,218,18,
1712,210811_nlbe_fruitsec_sto,1318,257,19,
