MODEL_ID,MODEL_TYPE,STOCK,IN_STOCK,DATE_CREATION,COLOR,MODEL_NAME,PRICE,STOCK_DAYS
TK001P3-FJ01-ALU,Top,245,True,2022-04-01 00:00:00,ALU,Débardeur de sport Get Comfy,16.65,220.5
TK002P3-FJ01-W,Top,8,True,2021-1014,BL,Débardeur de sport Free Your Mind,34.9,41.1
TK001P3-TT01-W,Top,153,True,2022-08-20 00:00:00,BL,Débardeur Get Comfy Quick Dry,15.9,51.7
TK001P3-FJ01-WH,Top,19,True,2022-08-20 00:00:00,WH,Débardeur de sport Get Comfy,15.9,30.0
SHSF-EP,Short,100,True,2022-01-10 00:00:00,WH,Short sans filet  - Episod,22.45,1800.0
SHNB003P02-SL01,Short,100,True,2022-04-05 00:00:00,PI,Short de Sport One For All (No Net),34,50.8
SH004P2-JL02-M,Short,30,True,2022-04-05 00:00:00,BL,Short de Compression Hit The Road,19.9,56.1
SH15001P3-JL02-W,Short,325,True,2021-07-01 00:00:00,BL,Short Get Shorty,19.9,38.8
LG001P1-JL02-W,Legging,131,True,2022-09-14 00:00:00,BL,Legging Get in Shape,21.4,59.5
BR001P1-JL02-W,crop top,129,True,2022-06-01 00:00:00,WH,Brassière Support Me Softly,16.24,10.7
BR001AR01-JL02-W,crop top,100,True,2021-09-01 00:00:00,CO,BRASSIERE YVETTE,23.8,105.9
ACC004-B03-POP,Accessories,36,True,2022-04-21 00:00:00,WH,Gourde - Protect 750 ml,11.2,27.3
ACC006AR01-M02,Accessories,20,True,2021-06-25 00:00:00,ALU,Tapis de yoga - Alexandra Rosenfeld - Cork,15,
ACC007AR01-B05-L,Accessories,13,True,2021-04-21 00:00:00,ALU,Gourde Alexandre Rosenfeld,12.39,
ACC003-M01,Accessories,37,True,2021-06-25 00:00:00,PI,Tapis de yoga recyclé - F3,8.2,
TK001P3-FJ01-M,Top,0,False,2022-04-01 00:00:00,CO,Haut sans manche Muscle Tee,18.7,
SN001P01-JL01-U,Accessories,0,False,2022-01-10 00:00:00,ALU,Tour de cou - L'Infini,-----,0.0
ACC001-B01,Accessories,0,False,2022-04-21 00:00:00,BL,Gourde plastique recyclé - Protect 750 ml,6.95,0.0
